,Team,Ratings
0,Arsenal,1607.4325447319598
1,Aston Villa,1398.028007498508
2,Birmingham,1447.243252270804
3,Blackburn,1407.25573817306
4,Blackpool,1444.6210412718506
5,Bolton,1438.021357616165
6,Bournemouth,1465.9571539838298
7,Brighton,1473.9807606782913
8,Burnley,1485.7063490181438
9,Cardiff,1421.60630638894
10,Chelsea,1641.5874467507426
11,Crystal Palace,1556.5621385454901
12,Everton,1556.9983318071484
13,Fulham,1390.726242358632
14,Huddersfield,1345.4962691014953
15,Hull,1430.4779135400313
16,Leicester,1651.5687862844984
17,Liverpool,1893.0903665698254
18,Man City,1814.3841114224547
19,Man United,1628.8185938750503
20,Middlesbrough,1391.8331389356717
21,Newcastle,1514.6211778740371
22,Norwich,1395.493795376195
23,Portsmouth,1384.9948951047259
24,QPR,1385.7371016646862
25,Reading,1413.794957354392
26,Sheffield United,1555.8854329907235
27,Southampton,1515.574768465896
28,Stoke,1469.689206134156
29,Sunderland,1396.6051377225463
30,Swansea,1457.8600507395445
31,Tottenham,1607.9414935056593
32,Watford,1498.3580580942514
33,West Brom,1462.747331965364
34,West Ham,1510.766675060841
35,Wigan,1465.7624141226393
36,Wolves,1572.7716530017499
